"","symbol","X","et.avg","et.sd","pval.x","pval.t"
"199","01265.HK",0.995235439837371,-0.00922490693195107,0.116635087221444,9.32447273247049e-206,5.29950663601213e-12
"200","01266.HK",1.00827568560012,-0.00783629110592042,0.11447410439762,9.77182376061497e-100,0.000436184806225039
"201","01268.HK",0.976812228741625,0.0156381603687271,0.100056042247788,9.77138652877539e-88,0.446907229820592
"202","01269.HK",1.06741141527671,0.0276972785510953,0.219616154154722,2.69495524111999e-72,3.97223631615599e-15
"203","00127.HK",1.00536192994497,0.00751567873535247,0.101129150558932,3.70340067510431e-218,1.67608033048836e-11
"204","01270.HK",1.0016363463574,-0.0128979551428928,0.0470229875110408,2.49331259171787e-127,6.21764928148762e-05
"205","01271.HK",1.01184763227752,0.0349297986935762,0.103135176731399,3.37059773191083e-91,1.45034116248229e-08
"206","01272.HK",1.01386326713066,-0.00352671697078455,0.0718230970241021,3.83014100210688e-67,0.76941675934316
"207","01273.HK",1.00465820997799,-0.00344486107235293,0.0591009997952849,2.50944800473467e-113,0.115905121008038
"208","01277.HK",0.99150692384611,-0.00866693450259853,0.0928907175653951,1.76303470544554e-108,8.91528406033011e-08
"209","01278.HK",0.998568953887401,-0.0273603821622707,0.0750364804339944,1.51258815281893e-66,0.00855698304143545
"210","00128.HK",1.01397391409243,0.0126376508362514,0.10941263801921,1.85971993522692e-212,1.49592489952003e-10
"211","01281.HK",1.0271622595551,0.00156483329547284,0.135550570405883,5.44907739948705e-93,1.88718790974029e-09
"212","01282.HK",1.01113405412248,-0.00440772212900748,0.148887570442675,3.51899340347493e-95,1.7285697234102e-09
"213","01283.HK",1.00528979385833,0.0464861593368376,0.151259559239994,1.13187976851009e-19,0.00103837857777662
"214","01285.HK",0.993549151194922,-0.0133005165153658,0.0657693692560926,2.68725609083313e-96,0.110831890333724
"215","01286.HK",0.992322236260811,-0.0136431767499228,0.0920599725682595,9.14756964036101e-30,0.610103719552492
"216","01288.HK",0.999872898855861,-0.000813422622140645,0.0399617624970286,1.63078037606837e-173,0.202721796373794
"217","01289.HK",0.99251092560383,-0.0344315849834899,0.106486071972784,5.01894157044997e-77,7.12943094101326e-07
"218","00129.HK",1.01209390903604,0.00649327674805239,0.0661915846836941,3.43197060906639e-253,0.000482809626692005
"219","01290.HK",0.986979551417812,-0.0174893682671809,0.10320951438387,1.62366603108828e-88,0.000258380168029669
"220","01293.HK",1.01214467647115,-0.00639341304892991,0.133029372305083,7.91603884302766e-53,0.0022699506050621
"221","01296.HK",1.01328653659577,-0.00402101234266159,0.118993586288272,1.84164234037361e-99,6.97758622514807e-06
"222","01297.HK",1.01523308166495,0.00913207370585471,0.12768517214567,3.84562440247028e-83,3.47007657477549e-05
"223","01298.HK",0.97862935671499,-0.0229147650822726,0.106518494463387,2.83486158839948e-103,0.0350352687020659
"224","01299.HK",0.999955298996852,0.0102996004272133,0.0314972923540969,1.02491243981681e-183,0.302227605097416
"225","00013.HK",0.525261072078633,-0.0474200619863349,0.106951623484508,0.684410321813243,0.144099448912025
"226","00130.HK",1.00682900890609,-0.000566327382419129,0.0813817311143459,6.08173372597871e-236,5.56339700862707e-10
"227","01300.HK",0.983339416041445,-0.0185671557784128,0.083996662907012,4.91092041341568e-113,0.379242444585935
"228","01301.HK",0.981599603427019,-0.0249342582982767,0.072032771184335,1.45257301769896e-84,0.254770167985435
"229","01302.HK",1.01826003190793,0.0330473708592253,0.112892495568145,4.95497826082323e-103,7.14707043232785e-05
