"","symbol","X","et.avg","et.sd","pval.x","pval.h","pval.t","r.squared","first.data.month"
"1656","00756.HK",1.01499762088559,-0.00339673151579936,0.114952506618075,8.83224142639527e-138,0.742599960534908,0.0166310419217325,0.981462453547544,2008-07-01
"1657","07568.HK",0.984196773377235,-0.0815150672324475,0.119977695954011,2.29732904795248e-21,0.409573202500367,0.170731710364778,0.982170163776985,2019-09-01
"1658","00757.HK",1.02049019548144,0.00228109909375839,0.128200759756981,3.25862826592174e-139,0.0119517379404808,7.77274547778369e-09,0.979973308434145,2008-03-01
"1659","07588.HK",0.977676380328028,-0.0125580988082208,0.122443264622021,1.34642515464715e-24,0.443355638527641,0.806637522943721,0.982794278112258,2019-06-01
"1660","00759.HK",1.00259395347864,0.00884603732014416,0.122935041495717,5.53269140144059e-201,0.857557628061965,2.11236381305878e-15,0.992570836955471,2006-02-01
"1661","00762.HK",0.997391133911094,-0.00636904108256722,0.0623162051693516,1.62003626643794e-255,0.335683327037455,0.0617513754105165,0.998060689418609,2006-02-01
"1662","00763.HK",0.981231828874364,-0.00339386186232803,0.0871810026963457,3.26739850255074e-42,0.983785273764321,0.00887493719695659,0.99243571318335,2018-06-01
"1663","00764.HK",1.01057794173306,-0.0421638305600086,0.199946903976871,1.32304404716415e-162,0.0685900775360612,1.44963715780236e-11,0.980911807407696,2006-02-01
"1664","00765.HK",1.00330284613066,0.00789394469942984,0.147227547601847,1.58674120970193e-186,0.255477175554184,1.21840020609201e-16,0.98939951602482,2006-02-01
"1665","00767.HK",1.04632879503581,0.0877328709845229,0.306770569303119,6.48527392917021e-10,0.851233035457916,0.253173880665042,0.867505700645602,2019-11-01
"1666","00769.HK",1.00394665900327,0.003156664669329,0.107509250321525,6.54322780245185e-212,0.148578766772029,2.4283631653109e-08,0.994320666066594,2006-02-01
"1667","00077.HK",1.00326030589336,0.00328092490879374,0.0624440484157327,7.94440971642899e-256,0.385623214236026,3.13308791884322e-08,0.998075370399328,2006-02-01
"1668","00771.HK",1.00127627587304,0.00274506000149007,0.099934853420945,1.34572371094743e-217,0.438041569795694,3.66121838646075e-07,0.99506632637352,2006-02-01
"1669","00772.HK",1.02612897134431,0.0246493028867372,0.103396215911539,5.28670039918501e-46,0.236730926463815,0.107805962729855,0.989089820951508,2017-11-01
"1670","00775.HK",1.00614835952495,0.00448747579156985,0.0885702345395238,9.43677160882896e-228,0.348457511077105,1.27895494320582e-17,0.996155881554229,2006-02-01
"1671","00776.HK",1.0096556531968,0.027096960388946,0.189258394938288,6.50477056984949e-167,0.882477903578482,1.63230037423808e-10,0.982808981150372,2006-02-01
"1672","00777.HK",1.02264438322825,0.0228586224599431,0.117470884155611,4.95451206571881e-151,0.462685734354081,7.64416562542614e-05,0.984097059403903,2007-11-01
"1673","00778.HK",0.999843207746239,0.00654348714413177,0.0415739767070622,2.87854646213661e-172,0.0453005772194163,0.0181485003303605,0.996848603152342,2010-04-01
"1674","00078.HK",1.01068791801096,0.00850187780561611,0.0657848682551919,3.36100700620147e-252,0.756271701477412,0.000444840543422626,0.997895059923869,2006-02-01
